name,category_list,market,funding_total_usd,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,venture,debt_financing,private_equity,stage_level,early_stage_funding,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio,log_funding_total_usd,log_funding_rounds,log_early_stage_funding,log_venture,log_debt_financing,log_private_equity,SubCluster
#waywire,|Entertainment|Politics|Social Media|News|, News ,1750000.0,acquired,USA,New York,1.0,2012-06-01,2012-06-30,2012-06-30,0.0,0.0,0.0,0,1750000.0,1.0,0.0,0.0,0.0,14.375126917328105,0.6931471805599453,14.375126917328105,0.0,0.0,0.0,2
&TV Communications,|Games|, Games ,4000000.0,operating,USA,Los Angeles,2.0,,2010-06-04,2010-09-23,4000000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,15.201805169084134,1.0986122886681098,0.0,15.201805169084134,0.0,0.0,1
'Rock' Your Paper,|Publishing|Education|, Publishing ,40000.0,operating,EST,Tallinn,1.0,2012-10-26,2012-08-09,2012-08-09,0.0,0.0,0.0,0,40000.0,1.0,0.0,0.0,0.0,10.596659732783579,0.6931471805599453,10.596659732783579,0.0,0.0,0.0,2
(In)Touch Network,|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|, Electronics ,1500000.0,operating,GBR,London,1.0,2011-04-01,2011-04-01,2011-04-01,0.0,0.0,0.0,0,1500000.0,1.0,0.0,0.0,0.0,14.220976332738882,0.6931471805599453,14.220976332738882,0.0,0.0,0.0,2
0-6.com,|Curated Web|, Curated Web ,2000000.0,operating,,,1.0,2007-01-01,2008-03-19,2008-03-19,2000000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,14.508658238524095,0.6931471805599453,0.0,14.508658238524095,0.0,0.0,1
01Games Technology,|Games|, Games ,41250.0,operating,HKG,Hong Kong,1.0,,2014-07-01,2014-07-01,0.0,0.0,0.0,0,41250.0,1.0,0.0,0.0,0.0,10.627430633893226,0.6931471805599453,10.627430633893226,0.0,0.0,0.0,2
"1,2,3 Listo",|E-Commerce|, E-Commerce ,40000.0,operating,CHL,Las Condes,1.0,2012-01-01,2013-02-18,2013-02-18,0.0,0.0,0.0,0,40000.0,1.0,0.0,0.0,0.0,10.596659732783579,0.6931471805599453,10.596659732783579,0.0,0.0,0.0,2
10 Minutes With,|Education|, Education ,4400000.0,operating,GBR,London,2.0,2013-01-01,2013-01-01,2014-10-09,4000000.0,0.0,0.0,1,400000.0,0.09090909090909091,0.9090909090909091,0.0,0.0,15.29711532616119,1.0986122886681098,12.899222326086994,15.201805169084134,0.0,0.0,1
1000 Corks,|Search|, Search ,40000.0,operating,USA,Lake Oswego,1.0,2008-01-01,2011-08-23,2011-08-23,0.0,0.0,0.0,0,40000.0,1.0,0.0,0.0,0.0,10.596659732783579,0.6931471805599453,10.596659732783579,0.0,0.0,0.0,2
1000 Markets,|Marketplaces|Art|E-Commerce|, Marketplaces ,500000.0,acquired,,,1.0,2009-01-01,2009-05-15,2009-05-15,0.0,0.0,0.0,0,500000.0,1.0,0.0,0.0,0.0,13.122365377402328,0.6931471805599453,13.122365377402328,0.0,0.0,0.0,2
1000memories,|Curated Web|, Curated Web ,2535000.0,acquired,USA,San Francisco,2.0,2010-07-01,2010-01-01,2011-02-16,2520000.0,0.0,0.0,1,15000.0,0.005917159763313609,0.9940828402366864,0.0,0.0,14.74570458948466,1.0986122886681098,9.61587214452889,14.739769856312924,0.0,0.0,1
100e.com,|Education|, Education ,4500000.0,operating,CHN,Beijing,2.0,,2006-01-01,2006-09-01,4500000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,15.319588176962746,1.0986122886681098,0.0,15.319588176962746,0.0,0.0,1
100health,|Health Care Information Technology|, Health Care Information Technology ,420000.0,operating,USA,Madison,1.0,2014-07-04,2014-11-26,2014-11-26,0.0,0.0,0.0,0,420000.0,1.0,0.0,0.0,0.0,12.948012371209098,0.6931471805599453,12.948012371209098,0.0,0.0,0.0,2
100Plus,|Analytics|, Analytics ,1250000.0,acquired,USA,San Francisco,2.0,2011-09-16,2011-11-02,2011-11-30,500000.0,0.0,0.0,0,750000.0,0.6,0.4,0.0,0.0,14.038654909278163,1.0986122886681098,13.527829818844937,13.122365377402328,0.0,0.0,0
1010data,|Software|, Software ,35000000.0,operating,USA,New York,1.0,2000-01-01,2010-03-08,2010-03-08,35000000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,17.370858648025116,0.6931471805599453,0.0,17.370858648025116,0.0,0.0,1
10BestThings,|Curated Web|, Curated Web ,50000.0,closed,USA,Cleveland,1.0,2009-04-01,2009-04-01,2009-04-01,0.0,0.0,0.0,0,50000.0,1.0,0.0,0.0,0.0,10.819798284210286,0.6931471805599453,10.819798284210286,0.0,0.0,0.0,2
