name,category_list,market,status,country_code,city,Cluster,SubCluster,SubCluster_Name,funding_total_usd,funding_rounds,early_stage_funding,venture,debt_financing,private_equity,stage_level,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio
#waywire,|Entertainment|Politics|Social Media|News|, News ,acquired,USA,New York,0,2,Small seed-stage,1750000.0,1.0,1750000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
&TV Communications,|Games|, Games ,operating,USA,Los Angeles,0,1,Small / early venture-backed,4000000.0,2.0,0.0,4000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
'Rock' Your Paper,|Publishing|Education|, Publishing ,operating,EST,Tallinn,0,2,Small seed-stage,40000.0,1.0,40000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
(In)Touch Network,|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|, Electronics ,operating,GBR,London,0,2,Small seed-stage,1500000.0,1.0,1500000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
0-6.com,|Curated Web|, Curated Web ,operating,,,0,1,Small / early venture-backed,2000000.0,1.0,0.0,2000000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
01Games Technology,|Games|, Games ,operating,HKG,Hong Kong,0,2,Small seed-stage,41250.0,1.0,41250.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
"1,2,3 Listo",|E-Commerce|, E-Commerce ,operating,CHL,Las Condes,0,2,Small seed-stage,40000.0,1.0,40000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
10 Minutes With,|Education|, Education ,operating,GBR,London,0,1,Small / early venture-backed,4400000.0,2.0,400000.0,4000000.0,0.0,0.0,1,0.09090909090909091,0.9090909090909091,0.0,0.0
1000 Corks,|Search|, Search ,operating,USA,Lake Oswego,0,2,Small seed-stage,40000.0,1.0,40000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
1000 Markets,|Marketplaces|Art|E-Commerce|, Marketplaces ,acquired,,,0,2,Small seed-stage,500000.0,1.0,500000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
