name,category_list, market , funding_total_usd ,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,debt_financing,angel,grant,private_equity,stage_level
#waywire,|Entertainment|Politics|Social Media|News|, News ,1750000.0,acquired,USA,New York,1.0,2012-06-01,2012-06-30,2012-06-30,1750000.0,0.0,0.0,0.0,0.0,0.0,0
&TV Communications,|Games|, Games ,4000000.0,operating,USA,Los Angeles,2.0,,2010-06-04,2010-09-23,0.0,4000000.0,0.0,0.0,0.0,0.0,0
'Rock' Your Paper,|Publishing|Education|, Publishing ,40000.0,operating,EST,Tallinn,1.0,2012-10-26,2012-08-09,2012-08-09,40000.0,0.0,0.0,0.0,0.0,0.0,0
(In)Touch Network,|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|, Electronics ,1500000.0,operating,GBR,London,1.0,2011-04-01,2011-04-01,2011-04-01,1500000.0,0.0,0.0,0.0,0.0,0.0,0
-R- Ranch and Mine,|Tourism|Entertainment|Games|, Tourism ,60000.0,operating,USA,Fort Worth,2.0,2014-01-01,2014-08-17,2014-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0
.Club Domains,|Software|, Software ,7000000.0,,USA,Oakland Park,1.0,2011-10-10,2013-05-31,2013-05-31,0.0,7000000.0,0.0,0.0,0.0,0.0,2
.Fox Networks,|Advertising|, Advertising ,4912393.0,closed,ARG,Buenos Aires,1.0,,2007-01-16,2007-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0
0-6.com,|Curated Web|, Curated Web ,2000000.0,operating,,,1.0,2007-01-01,2008-03-19,2008-03-19,0.0,2000000.0,0.0,0.0,0.0,0.0,1
004 Technologies,|Software|, Software ,,operating,USA,Champaign,1.0,2010-01-01,2014-07-24,2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0
01Games Technology,|Games|, Games ,41250.0,operating,HKG,Hong Kong,1.0,,2014-07-01,2014-07-01,41250.0,0.0,0.0,0.0,0.0,0.0,0
"1,2,3 Listo",|E-Commerce|, E-Commerce ,40000.0,operating,CHL,Las Condes,1.0,2012-01-01,2013-02-18,2013-02-18,40000.0,0.0,0.0,0.0,0.0,0.0,0
1-4 All,|Entertainment|Games|Software|, Software ,,operating,USA,Connellys Springs,1.0,,2013-04-21,2013-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0
1-800-DENTIST,|Health and Wellness|, Health and Wellness ,,operating,USA,Los Angeles,1.0,1986-01-01,2010-08-19,2010-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0
1-800-DOCTORS,|Health and Wellness|, Health and Wellness ,1750000.0,operating,USA,Iselin,1.0,1984-01-01,2011-03-02,2011-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0
1.618 Technology,|Real Estate|, Real Estate ,,operating,USA,Orlando,1.0,2013-12-07,2014-01-22,2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0
